title,datetime,link,media,sentiment
Chinese Tech Company Takes On Microsoft With Super Cheap Tablet,2017-01-11 00:00:00,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYmVuc2luLzIwMTcvMDEvMTIvY2hpbmVzZS10ZWNoLWNvbXBhbnktdGFrZXMtb24tbWljcm9zb2Z0LXdpdGgtc3VwZXItY2hlYXAtdGFibGV0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, positive
Will Microsoft (MSFT) Beat On Earnings This Quarter?,2017-01-12 00:00:00,https://news.google.com/articles/CBMiWmh0dHBzOi8vdWsubmV3cy55YWhvby5jb20vZmluYW5jZS9uZXdzL21pY3Jvc29mdC1tc2Z0LWJlYXQtZWFybmluZ3MtcXVhcnRlci0yMDI2MDg3NjkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Yahoo News UK, neutral
Amazon Echo Vs. Google Home Vs. Microsoft Cortana Vs. Apple Siri,2017-01-14 00:00:00,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYW1hem9uLWVjaG8tZ29vZ2xlLWhvbWUtbWljcm9zb2Z0LWNvcnRhbmEtYXBwbGUtc2lyaS0yMDE3LTHSAQA?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
How to Break Free From the Apple Ecosystem,2017-01-14 00:00:00,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaG93LXRvLWJyZWFrLWZyZWUtZnJvbS10aGUtYXBwbGUtZWNvc3lzdGVtLTIwMTctMdIBAA?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
Microsoft's Nadella Warns Against 'Hubris' Amid AI Growth,2017-01-15 00:00:00,https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTE2L21pY3Jvc29mdC1zLW5hZGVsbGEtY2FsbHMtZm9yLXRlY2gtaW5kdXN0cnktdG8tb3Blbi11cC1hadIBAA?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg, neutral
Microsoft Warns Windows 7 Is Dangerous To Use [Updated],2017-01-16 00:00:00,https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ29yZG9ua2VsbHkvMjAxNy8wMS8xNy9taWNyb3NvZnQtd2luZG93cy03LXNlY3VyaXR5LWhhcmR3YXJlLXN1cHBvcnQtcHJvYmxlbXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, negative
Microsoft Veteran Will Help Run Chinese Search Giant Baidu,2017-01-16 00:00:00,https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTE3L21pY3Jvc29mdC1leGVjdXRpdmUtcWktbHUtZGVwYXJ0cy10by1qb2luLWNoaW5hLXMtYmFpZHUtYXMtY29v0gEA?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg, neutral
Donuts Inc. hires former Microsoft executive Bruce Jaffe as CEO - Puget Sound Business Journal,2017-01-18 00:00:00,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zZWF0dGxlL25ld3MvMjAxNy8wMS8xOS9kb251dHMtaW5jLWNlby1icnVjZS1qYWZmZS1jcm8tam9obi1wb2xsYXJkLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,The Business Journals, neutral
An ex-NFL player claims he inspired a 'Gears of War' character — and he wants a cut,2017-01-18 00:00:00,https://news.google.com/articles/CBMikgFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmV3cy9lYXJseS1sZWFkL3dwLzIwMTcvMDEvMTkvYW4tZXgtZm9vdGJhbGwtcGxheWVyLWNsYWltcy1oZS1pbnNwaXJlZC1hLWdlYXJzLW9mLXdhci1jaGFyYWN0ZXItYW5kLWhlLXdhbnRzLWEtY3V0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post, neutral
Microsoft Asserts Clients' Rights in FBI E-Mail Searches Fight,2017-01-22 00:00:00,https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTIzL21pY3Jvc29mdC1hc3NlcnRzLWNsaWVudHMtcmlnaHRzLWluLWZiaS1lLW1haWwtc2VhcmNoZXMtZmlnaHTSAQA?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg, negative
'Where Does Cloud Storage Really Reside? And Is It Secure?' (Published 2017),2017-01-22 00:00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMjMvaW5zaWRlci93aGVyZS1kb2VzLWNsb3VkLXN0b3JhZ2UtcmVhbGx5LXJlc2lkZS1hbmQtaXMtaXQtc2VjdXJlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,The New York Times, neutral
Microsoft Taps LinkedIn Executive as Chief Technology Officer,2017-01-23 00:00:00,https://news.google.com/articles/CBMiQGh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNC9taWNyb3NvZnQtdGFwcy1saW5rZWRpbi1leGVjLWN0by_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, neutral
Microsoft CEO Satya Nadella Says Declining PC Market Is Stabilizing,2017-01-26 00:00:00,https://news.google.com/articles/CBMiRmh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNi9taWNyb3NvZnQtc2F0eWEtbmFkZWxsYS1wYy1zdGFiaWxpemluZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, neutral
CEO Satya Nadella succinctly explained the secret of Microsoft's turnaround: 'No status quo',2017-01-26 00:00:00,https://news.google.com/articles/CBMikAFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vY2VvLXNhdHlhLW5hZGVsbGEtc3VjY2luY3RseS1leHBsYWluZWQtdGhlLXNlY3JldC1vZi1taWNyb3NvZnRzLXR1cm5hcm91bmQtbm8tc3RhdHVzLXF1by9hcnRpY2xlc2hvdy81NjgwMTk0Mi5jbXPSAZQBaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmluL2Nlby1zYXR5YS1uYWRlbGxhLXN1Y2NpbmN0bHktZXhwbGFpbmVkLXRoZS1zZWNyZXQtb2YtbWljcm9zb2Z0cy10dXJuYXJvdW5kLW5vLXN0YXR1cy1xdW8vYW1wX2FydGljbGVzaG93LzU2ODAxOTQyLmNtcw?hl=en-US&gl=US&ceid=US%3Aen,Business Insider India, positive
Why companies like Microsoft and Cisco pumping millions of dollars into their startup accelerator programm,2017-01-27 00:00:00,https://news.google.com/articles/CBMitAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vc21hbGwtYml6L3N0YXJ0dXBzL3doeS1jb21wYW5pZXMtbGlrZS1taWNyb3NvZnQtYW5kLWNpc2NvLXB1bXBpbmctbWlsbGlvbnMtb2YtZG9sbGFycy1pbnRvLXRoZWlyLXN0YXJ0dXAtYWNjZWxlcmF0b3ItcHJvZ3JhbW1lcy9hcnRpY2xlc2hvdy81NjgwMDMyMy5jbXPSAbgBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL3NtYWxsLWJpei9zdGFydHVwcy93aHktY29tcGFuaWVzLWxpa2UtbWljcm9zb2Z0LWFuZC1jaXNjby1wdW1waW5nLW1pbGxpb25zLW9mLWRvbGxhcnMtaW50by10aGVpci1zdGFydHVwLWFjY2VsZXJhdG9yLXByb2dyYW1tZXMvYW1wX2FydGljbGVzaG93LzU2ODAwMzIzLmNtcw?hl=en-US&gl=US&ceid=US%3Aen,The Economic Times, neutral
"Satya Nadella, Microsoft, on why robots are the future of work",2017-01-28 00:00:00,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzdhMDNjMWMyLWUxNGQtMTFlNi04NDA1LTllNTU4MGQ2ZTVmYtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Financial Times, neutral
"Interview With Trello CEO Michael Pryor, on Atlassian Acquisition",2017-01-28 00:00:00,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdHJlbGxvLW1pY2hhZWwtcHJ5b3ItaW50ZXJ2aWV3LWF0bGFzc2lhbi1hY3F1aXNpdGlvbi0yMDE3LTHSAQA?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
7 Famous Tech Firms Founded by Immigrants or Their Children,2017-01-29 00:00:00,https://news.google.com/articles/CBMiN2h0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8zMC90ZWNoLWltbWlncmFudC1mb3VuZGVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, neutral
Microsoft issues biggest bond of the year in debt market boom,2017-01-30 00:00:00,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzdkMGE1NjE4LWU3MGQtMTFlNi05NjdiLWM4ODQ1MjI2M2RhZtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Financial Times, positive
"Slack, Microsoft step up war on work email",2017-01-30 00:00:00,https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoL3RhbGtpbmd0ZWNoLzIwMTcvMDEvMzEvc2xhY2stbWljcm9zb2Z0LXN0ZXAtdXAtd2FyLXdvcmstZW1haWwvOTcyNjIyNzgv0gEA?hl=en-US&gl=US&ceid=US%3Aen,USA TODAY, neutral
Former Microsoft CEO Steve Ballmer on Trump's style,2017-02-04 00:00:00,https://news.google.com/articles/CBMiK2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3ZpZGVvLzUyMzI5Mjc1MzcwMDHSAQA?hl=en-US&gl=US&ceid=US%3Aen,Fox News, neutral
One question from Warren Buffett made Bill Gates rethink Microsoft,2017-02-06 00:00:00,https://news.google.com/articles/CBMiU2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vd2FycmVuLWJ1ZmZldHQtYmlsbC1nYXRlcy1xdWVzdGlvbi1taWNyb3NvZnQtMjAxNy0y0gFXaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS93YXJyZW4tYnVmZmV0dC1iaWxsLWdhdGVzLXF1ZXN0aW9uLW1pY3Jvc29mdC0yMDE3LTI_YW1w?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
Why the secretive $35 billion company behind Twix and M&Ms bet on Microsoft's big change,2017-02-07 00:00:00,https://news.google.com/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aHktc2VjcmV0aXZlLTM1LWJpbGxpb24tY29tcGFueS0yMjU0MDAwOTIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance, neutral
Best Bill Gates Stories,2017-02-11 00:00:00,https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYmVzdC1iaWxsLWdhdGVzLXN0b3JpZXMtMjAxNy0y0gEA?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
Culture is just a reflection of you and what you do in an organisation: Satya Nadella,2017-02-11 00:00:00,https://news.google.com/articles/CBMimwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvY3VsdHVyZS1pcy1qdXN0LWEtcmVmbGVjdGlvbi1vZi15b3UtYW5kLXdoYXQteW91LWRvLWluLWFuLW9yZ2FuaXNhdGlvbi1zYXR5YS1uYWRlbGxhL2FydGljbGVzaG93LzU3MTA3MDAyLmNtc9IBnwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvY3VsdHVyZS1pcy1qdXN0LWEtcmVmbGVjdGlvbi1vZi15b3UtYW5kLXdoYXQteW91LWRvLWluLWFuLW9yZ2FuaXNhdGlvbi1zYXR5YS1uYWRlbGxhL2FtcF9hcnRpY2xlc2hvdy81NzEwNzAwMi5jbXM?hl=en-US&gl=US&ceid=US%3Aen,The Economic Times, neutral
Microsoft Azure Gaining Traction in Business,2017-02-14 00:00:00,https://news.google.com/articles/CBMiRGh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMi8xNS9taWNyb3NvZnQtYXp1cmUtY2xvdWQtYnVzaW5lc3MtdXNlcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, positive
Tim Cook's 'Ballmer-ization' Of Apple,2017-02-14 00:00:00,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWRhbWhhcnR1bmcvMjAxNy8wMi8xNS90aW0tY29va3MtYmFsbG1lci1pemF0aW9uLW9mLWFwcGxlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, negative
"Microsoft Takes Another Crack at Health Care, This Time With Cloud, AI and Chatbots",2017-02-15 00:00:00,https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvYXJ0aWNsZXMvMjAxNy0wMi0xNi9taWNyb3NvZnQtdGFrZXMtYW5vdGhlci1jcmFjay1hdC1oZWFsdGgtY2FyZS10aGlzLXRpbWUtd2l0aC1jbG91ZC1haS1hbmQtY2hhdGJvdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg, neutral
Tata Motors and Microsoft tie up for infotainment tech in new cars,2017-02-16 00:00:00,https://news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2F1dG8vY2FyLW5ld3MvdGF0YS1tb3RvcnMtYW5kLW1pY3Jvc2Z0LXRpZS11cC1mb3ItaW5mb3RhaW5tZW50LXRlY2gtaW4tbmV3LWNhcnMvNTU0MDU3L9IBfWh0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2F1dG8vY2FyLW5ld3MvdGF0YS1tb3RvcnMtYW5kLW1pY3Jvc2Z0LXRpZS11cC1mb3ItaW5mb3RhaW5tZW50LXRlY2gtaW4tbmV3LWNhcnMvNTU0MDU3L2xpdGUv?hl=en-US&gl=US&ceid=US%3Aen,The Financial Express, positive
"Bill Gates: If a robot takes a human job, it should be taxed",2017-02-17 00:00:00,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoL25hdGlvbi1ub3cvMjAxNy8wMi8xNy9iaWxsLWdhdGVzLWlmLXJvYm90LXRha2VzLWh1bWFuLWpvYi1zaG91bGQtdGF4ZWQvOTgwMzg2NzQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,USA TODAY, neutral
Bill Gates warns tens of millions could be killed by bio-terrorism,2017-02-18 00:00:00,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTcvZmViLzE4L2JpbGwtZ2F0ZXMtd2FybnMtdGVucy1vZi1taWxsaW9ucy1jb3VsZC1iZS1raWxsZWQtYnktYmlvLXRlcnJvcmlzbdIBdWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTcvZmViLzE4L2JpbGwtZ2F0ZXMtd2FybnMtdGVucy1vZi1taWxsaW9ucy1jb3VsZC1iZS1raWxsZWQtYnktYmlvLXRlcnJvcmlzbQ?hl=en-US&gl=US&ceid=US%3Aen,The Guardian, negative
Got fined for overspeeding thrice - 10 little-known things about Microsoft co-founder Bill Gates,2017-02-18 00:00:00,https://news.google.com/articles/CBMirwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9jb21wYW55L2NvcnBvcmF0ZS10cmVuZHMvMTAtbGl0dGxlLWtub3duLXRoaW5ncy1hYm91dC1taWNyb3NvZnQtY28tZm91bmRlci1iaWxsLWdhdGVzL2dvdC1maW5lZC1mb3Itb3ZlcnNwZWVkaW5nLXRocmljZS9zbGlkZXNob3cvNTcyMzM2MDAuY21z0gEA?hl=en-US&gl=US&ceid=US%3Aen,The Economic Times, neutral
Microsoft's Satya Nadella is counting on culture shock to drive growth,2017-02-19 00:00:00,https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoL25ld3MvMjAxNy8wMi8yMC9taWNyb3NvZnRzLXNhdHlhLW5hZGVsbGEtY291bnRpbmctY3VsdHVyZS1zaG9jay1kcml2ZS1ncm93dGgvOTgwMTEzODgv0gEA?hl=en-US&gl=US&ceid=US%3Aen,USA TODAY, positive
President Trump's Tech Scorecard: First 30 Days,2017-02-19 00:00:00,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvc2hlbGJ5Y2FycGVudGVyLzIwMTcvMDIvMjAvdHJ1bXAtdGVjaC1zY29yZWNhcmQtZmlyc3QtMzAtZGF5cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, neutral
Where the World’s Wealthiest Invest Their Billions,2017-02-19 00:00:00,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDIvMTkveW91ci1tb25leS93aGVyZS10aGUtd29ybGRzLXdlYWx0aGllc3QtaW52ZXN0LXRoZWlyLWJpbGxpb25zLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,The New York Times, neutral
Nadella says Microsoft must display 'enduring values',2017-02-19 00:00:00,https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoL25ld3MvMjAxNy8wMi8yMC9uYWRlbGxhLXNheXMtbWljcm9zb2Z0LW11c3QtZGlzcGxheS1lbmR1cmluZy12YWx1ZXMvOTgwMTMyMTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,USA TODAY, neutral
Microsoft CEO Satya Nadella says Bill Gates' original mission 'always bothered me',2017-02-20 00:00:00,https://news.google.com/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9taWNyb3NvZnQtY2VvLXNhdHlhLW5hZGVsbGEtc2F5cy0xOTI3MTMxMzIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance, negative
Microsoft CEO Satya Nadella seals cloud deal with Flipkart,2017-02-20 00:00:00,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vbGF0ZXN0L2NvcnBvcmF0ZS9zdG9yeS9taWNyb3NvZnQtY2VvLXNhdHlhLW5hZGVsbGEtc2VhbHMtY2xvdWQtZGVhbC13aXRoLWZsaXBrYXJ0LTcxNTI2LTIwMTctMDItMjHSAYMBaHR0cHM6Ly93d3cuYnVzaW5lc3N0b2RheS5pbi9hbXAvbGF0ZXN0L2NvcnBvcmF0ZS9zdG9yeS9taWNyb3NvZnQtY2VvLXNhdHlhLW5hZGVsbGEtc2VhbHMtY2xvdWQtZGVhbC13aXRoLWZsaXBrYXJ0LTcxNTI2LTIwMTctMDItMjE?hl=en-US&gl=US&ceid=US%3Aen,Business Today, positive
"Skills Needed for Jobs at Google, Apple, or Microsoft",2017-02-22 00:00:00,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc2tpbGxzLWdvb2dsZS1hcHBsZS1taWNyb3NvZnQtMjAxNy0y0gEA?hl=en-US&gl=US&ceid=US%3Aen,Business Insider, neutral
ASOS Streamlines Fashion With Microsoft Azure,2017-02-24 00:00:00,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvdG9ueWJyYWRsZXkvMjAxNy8wMi8yNC9hc29zLXN0cmVhbWxpbmVzLWZhc2hpb24td2l0aC1taWNyb3NvZnQtYXp1cmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, positive
Startups Seeking Funding Should Consider Corporate Venture Capital Arms,2017-02-25 00:00:00,https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWxsYnVzaW5lc3MvMjAxNy8wMi8yNS9zdGFydHVwcy1zZWVraW5nLWZ1bmRpbmctc2hvdWxkLWNvbnNpZGVyLWNvcnBvcmF0ZS12ZW50dXJlLWNhcGl0YWwtYXJtcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, neutral
Business Giants to Announce Creation of a Computing System Based on Ethereum (Published 2017),2017-02-26 00:00:00,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDIvMjcvYnVzaW5lc3MvZGVhbGJvb2svZXRoZXJldW0tYWxsaWFuY2UtYnVzaW5lc3MtYmFua2luZy1zZWN1cml0eS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,The New York Times, positive
"Apple's Corporate Reputation Falling Behind Google, Microsoft",2017-02-28 00:00:00,https://news.google.com/articles/CBMiOmh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMy8wMS9hcHBsZS1jb3Jwb3JhdGUtcmVwdXRhdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, negative
