Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Over 250 million people on Facebook are connected to a business in India
* Why 2017 Was a Year to Remember for Facebook Inc.
* Spotify Maintains Faith in Post-Brexit U.K. With New Office

Negative Headlines:
* The 'Big Five' Could Destroy the Tech Ecosystem
* Billionaire investor George Soros dumps Apple, Snap stock but boosts stake in Amazon, Microsoft
* BuzzFeed Set to Miss Revenue Target, Signaling Turbulence in Media

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.13%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Uber Paid Hackers to Delete Stolen Data on 57 Million People
* Peter Thiel just sold more Facebook shares, but his big mistake was dumping them in 2012
* The Tech Giants' Secret War Against Fake News Is Too Secret
* George Takei saga sheds light on the murky world of pay-to-promote news

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.26%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Zeta Global Makes Its Biggest Buy Yet: Social Discussion Platform Disqus
* 5 Reasons To Start Buying Snap's Stock, According To Barclays - Snap (NYSE:SNAP)
* Why Facebook is the best place to work in America

Negative Headlines:
* Rodrigo Duterte Turned Facebook Into a Weapon, With a Little Help From Facebook

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.39%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook set to spend hundreds of millions in 900K-square-foot Prineville campus expansion - Portland Business 
* Facebook is the best place to work—and it's not just because of the fun perks

Negative Headlines:
* He Got Rich by Sparking the Fake News Boom. Then Facebook Broke His Business
* Former Facebook VP says social media is destroying society with 'dopamine-driven feedback loops'

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.64%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Germany Says Facebook Abuses Market Dominance to Collect Data
* How Facebook’s Political Unit Enables the Dark Art of Digital Propaganda
* Facebook pages hijacked, company no help
* Facebook Allowed Sellers To Target Teens With Ads For Penis Keychains

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.0%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* World's Wealthiest Became $1 Trillion Richer in 2017
* How Workplace By Facebook Is Helping Organizations Improve And Enhance Communication

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.27%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook Trustworthiness Ratings Boost 'Fake News Award' Winner

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.63%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Mark Zuckerberg Halts Stock Sales as Facebook Shares Tumble

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 5.23%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Oversold Facebook Stock Set for Big Bounce
* Facebook Poaches Top Research Scientist From Google DeepMind
* Apple reportedly hired a major Facebook critic and former employee for its privacy team
* U.S. Military Trusted More Than Google, Facebook to Develop AI
* Facebook employs UK fact-checkers to combat fake news

Negative Headlines:
* Older People Shared Fake News on Facebook More Than Others in 2016 Race, Study Says (Published 2019)
* Nurse Alleges Zuckerberg Hospital Retaliation Against Them for Facebook Criticism
* Meningitis warning follows death of man two days after broadcasting final conscious moments on Facebook Live from New Jersey police station
* More research says Facebook can cause depression, this time among millennials
* Inside Facebook's 'cult-like' workplace, where dissent is discouraged and employees pretend to be happy all the time

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.17%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* An Early Facebook Investor Is Creating A Scouting Network For Brilliant Engineers

Negative Headlines:
* Facebook Identifies Russia-Linked Misinformation Campaign
* Facebook manager says in internal post she quit after being 'harassed' over views on diversity
* What You Can Learn From The Facebook Culture Crisis?
* Facebook (FB) Faces Record Fine for Data Breach
* How Secrecy Fuels Facebook Paranoia

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.2%
